parti;groupe;
non mentionné;Indépendant/micro-partis;
Parti communiste français;Extrême-gauche;
Parti socialiste;Gauche;
Rassemblement pour la République;Droite gaulliste;
Union pour la démocratie française;Droite libérale;
Front national;Extrême-droite;
Lutte ouvrière;Extrême-gauche;
Mouvement des radicaux de gauche;Centre gauche;
Parti socialiste unifié;Gauche;
Union des républicains de progrès;Droite gaulliste;
Génération écologie;Ecologiste;
Verts;Ecologiste;
Nouveaux écologistes du rassemblement nature et animaux;Ecologiste;
Parti républicain;Droite libérale;
Mouvement réformateur;Centre;
Centre des démocrates sociaux;Centre droit;
Centre national des indépendants;Droite libérale;
Centre national des indépendants et paysans;Droite libérale;
Républicains indépendants;Droite libérale;
Ligue communiste révolutionnaire;Extrême-gauche;
Radicaux de gauche;Centre gauche;
Centre Démocratie et Progrès;Centre droit;
Union des démocrates pour la République;Droite gaulliste;
indépendant;Indépendant/micro-partis;
Parti radical-socialiste;Centre gauche;
Centre démocrate;Centre droit;
Parti radical;Centre droit;
Mouvement des démocrates;Centre gauche;
Démocratie chrétienne;Centre;
Parti de la loi naturelle;Indépendant/micro-partis;
Parti des forces nouvelles;Extrême-droite;
Parti ouvrier européen;Extrême-gauche;
Centre démocrate et républicain;Centre;
Parti des travailleurs;Extrême-gauche;
Mouvement universaliste;Ecologiste;
Parti pour la défense des animaux;Ecologiste;
Union nationale écologiste;Ecologiste;
Ligue communiste;Extrême-gauche;
Mouvement pour une alternative non-violente;Extrême-gauche;
Alliance républicaine indépendante et libérale;Droite libérale;
Ecologie les Verts;Ecologiste;
Union des indépendants;Droite libérale;
Parti socialiste démocrate;Gauche;
Union des gaullistes de progrès;Droite gaulliste;
sans étiquette;Indépendant/micro-partis;
Alliance populaire;Extrême-droite;
Démocratie chrétienne française;Centre droit;
Mouvement des citoyens;Extrême-droite;
Solidarité écologie gauche alternative;Ecologiste;
Union démocratique bretonne;Régionaliste/Autonomiste;
Réformateurs;Centre;
Organisation communiste des travailleurs;Extrême-gauche;
libre;Indépendant/micro-partis;
Mouvement des réformateurs;Centre;
Mouvement de la gauche radicale;Gauche;
Union des jeunes pour le progrès;Droite gaulliste;
Mouvement pour le socialisme par la participation;Droite gaulliste;
Choisir la cause des femmes;Extrême-gauche;
Alliance pour l'écologie et la démocratie;Ecologiste;
Alliance européenne des travailleurs;Extrême-gauche;
Amis de la Terre;Ecologiste;
Centre républicain;Centre;
Front progressiste;Indépendant/micro-partis;
marxistes-léninistes;Extrême-gauche;
Mouvement démocrate socialiste de France;Centre gauche;
SOS Environnement;Ecologiste;
Fédération des républicains de progrès;Droite gaulliste;
Union des Français de bon sens;Droite libérale;
Réformateur;Centre;
socialiste;Gauche;
Socialiste;Gauche;
Alternative rouge et verte;Extrême-gauche;
indépendants;Indépendant/micro-partis;
Union des démocrates pour la Ve République;Droite gaulliste;
Républicains de progrès;Droite gaulliste;
aucun parti politique;Indépendant/micro-partis;
Parti social démocrate;Centre gauche;
gaulliste;Droite gaulliste;
Parti fédéraliste européen;Régionaliste/Autonomiste;
Parti breton Strollad ar vro;Régionaliste/Autonomiste;
Radical-socialiste;Centre gauche;
centriste;Centre;
communistes fidèles au marxisme-léninisme et à la pensée de Mao Tsé-toung;Extrême-gauche;
Comités communistes autogestionnaires;Extrême-gauche;
Parti du ras le bol;Extrême-droite;
socialistes;Gauche;
Parti Radical;Centre gauche;
non inscrit;Indépendant/micro-partis;
Union travailliste;Indépendant/micro-partis;
divers droite;Droite libérale;
écologiste;Ecologiste;
Radicaux;Centre gauche;
Entente internationale des travailleurs;Extrême-gauche;
Organisation communiste internationaliste;Extrême-gauche;
Alliance des jeunes pour le socialisme;Gauche;
Chasse pêche nature traditions;Action spécifique;
Parti libéral de France;Droite libérale;
écologistes;Ecologiste;
Nouveau Contrat Social;Centre droit;
Comités Juquin;Indépendant/micro-partis;
Présence socialiste;Gauche;
Rassemblement des usagers du service public et des contribuables;Action spécifique;
Mouvement démocrate socialiste;Centre gauche;
Alternative démocratie socialisme;Extrême-gauche;
Action républicaine indépendante et libérale;Droite libérale;
Radicaux-socialistes;Centre gauche;
Comités communistes pour l'autogestion;Extrême-gauche;
Coordination rurale;Action spécifique;
Gauche radicale;Gauche;
Collectif du monde rural pour le non à Maastricht;Action spécifique;
non inscrits;Indépendant/micro-partis;
communiste;Extrême-gauche;
Confédération générale du travail;Extrême-gauche;
sans parti politique;Indépendant/micro-partis;
Syndicat national de défense du droit des agriculteurs;Action spécifique;
Chrétiens démocrates;Centre droit;
Union démocratique du travail;Centre gauche;
centristes;Centre;
Républicain indépendant;Droite libérale;
Entente républicaine et radicale du Sud-Ouest;Centre gauche;
socialiste indépendant;Gauche;
Radical;Centre gauche;
Ligue communiste section française de la quatrième internationale;Extrême-gauche;
Collège pour une société de participation;Droite gaulliste;
républicain;Droite gaulliste;
communistes;Extrême-gauche;
Radical de gauche;Centre gauche;
Indépendants;Indépendant/micro-partis;
Comités d'initiative pour une nouvelle politique à gauche;Gauche;
gauche;Gauche;
Centre des républicains libres;Droite libérale;
Centre;Centre;
Refondations;Indépendant/micro-partis;
Parti féministe;Action spécifique;
Région verte;Indépendant/micro-partis;
gaulliste indépendant;Droite gaulliste;
Mouvement pour le désarmement la paix la liberté;Action spécifique;
Socialistes;Gauche;
Mouvement écologique;Ecologiste;
libéral;Droite libérale;
Ecologie et survie mouvement d'écologie politique alsacien;Ecologiste;
Nouvelle solidarité;Gauche;
apolitique;Indépendant/micro-partis;
Parti communiste réunionnais;Régionaliste/Autonomiste;
libres;Indépendant/micro-partis;
Progrès et démocratie moderne;Centre;
hors des partis politiques;Indépendant/micro-partis;
Parti communiste guadeloupéen;Régionaliste/Autonomiste;
Centre féminin d'études et d'information Femmes Avenir;Action spécifique;
Union pour une politique nouvelle;Indépendant/micro-partis;
Parti communiste révolutionnaire;Extrême-gauche;
Nouveau contrat social;Centre;
Confédération française démocratique du travail;Extrême-gauche;
SOS environnement;Ecologiste;
Combat ouvrier;Extrême-gauche;
Démocrates de progrès;Centre;
Mouvement de la gauche radicale-socialiste;Centre gauche;
Mouvement solidarité participation;Indépendant/micro-partis;
Centre gauche;Centre gauche;
centre;Centre;
Lutte occitane;Régionaliste/Autonomiste;
Union du centre;Centre;
Mouvement des démocrates socialistes;Centre gauche;
Action royaliste;Extrême-droite;
Front des jeunes progressistes;Centre gauche;
Union des démocrates de progrès;Centre;
Union gaulliste pour la démocratie;Droite gaulliste;
hors des partis;Indépendant/micro-partis;
écologiste indépendant;Ecologiste;
écologistes indépendants des partis politiques;Ecologiste;
